,,X..Torque,Avg.Load.Factor,Blowby.Pressure,Coolant.Temp,EGT.RB2,Engine.Speed,IMT.LBF,IMT.LBM,IMT.LBR,IMT.RBF,IMT.RBM,IMT.RBR,Incline,Lube.Oil.Pressure,Post.Lube.Oil.Filter.Pressure,Pre.Lube.Oil.Filter.Pressure,Truck.Speed,
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',17,1,0.5,82,535.75,1826.25,56,55,55,57,54,57,3.160000086,30,1000,1000,49,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',7,10,0.100000001,80,401.625,1208.375,50,50,50,52,49,51,3.49000001,15,820,836,0,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',15,21,0.100000001,81,427.25,1158.5,50,50,49,51,49,50,5.349999905,24,940,824,0,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',92,80,0.1,81,507.125,1774.75,52,51,51,53,51,52,7.150000095,23,1000,1000,0,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.150000006,79,329.4375,953.625,39,39,37,38,47,48,8.779999733,15.5,660,668,0,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',51,48,0.349999994,80,405.5625,1744.125,41,40,40,41,39,40,7.090000153,29,1000,1000,0,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',40,75,0.050000001,78,164.1562042,1007.5,48,50,48,49,47,48,7.090000153,6.5,676,500,0,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',9,11,0,80,313,808,45,46,46,47,44,45,10.28999996,0,524,512,2,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',46,41,0,76,195.5312042,1597.875,48,46,49,47,47,48,8.829999924,18,900,904,4,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',11,21,0.100000001,78,308,1193,44,43,44,45,46,42,5.090000153,23,764,796,5,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.050000001,80,327.218811,900.625,45,45,43,44,47,48,9.979999542,6.5,616,624,6,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',78,77,0.1,85,600.75,1782.375,62,59,61,62,58,62,4.420000076,36,1000,1000,8,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',7,8,0,78,389.968811,1193.25,46,46,45,46,47,48,4.710000038,13.5,736,760,9,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',20,0,0.150000006,78,306.093811,1042.625,45,44,43,44,47,48,8.340000153,15.5,712,804,9,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',5,3,0.349999994,80,403.25,1715.75,48,48,48,50,47,48,3,38,1000,1000,10,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',35,36,0.150000006,79,399.4375,1321.375,49,51,48,48,47,48,6.630000114,0,772,896,11,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.100000001,79,287.218811,1097.375,50,52,50,50,47,48,4.119999886,11,676,688,12,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',10,60,0.100000001,79,389.968811,1684.625,52,53,51,52,47,48,6.139999866,15.5,984,1000,12,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',3,34,0,80,334.4375,1178.875,45,46,43,44,47,48,5.619999886,2,764,788,17,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,32,0.100000001,78,352.75,1547.125,48,49,47,48,47,48,6.849999905,11,988,976,17,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',46,53,0.25,78,380.531189,1634.625,46,47,45,45,47,48,6.980000019,18,940,1000,17,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.200000003,80,403,1701,50,48,47,48,47,48,3.109999895,18,852,880,17,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.200000003,78,369.156189,1394.375,49,50,47,49,47,48,5.920000076,22.5,860,856,18,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',45,42,0.050000001,78,408.3125,1323.625,47,48,46,47,47,48,7.909999847,18,768,1000,19,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.200000003,80,391.625,1398.625,51,51,51,54,50,52,4.420000076,34,1000,908,20,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',7,10,0.100000001,81,367.6875,1184.25,50,49,49,51,48,50,3.549999952,7,820,812,21,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',51,11,0.1,80,403,1563.25,48,48,47,48,47,48,5.409999847,18,852,960,22,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',31,33,0.150000006,80,403,1678.875,48,52,47,48,47,48,6.71999979,18,1000,964,22,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,1,0.050000001,79,427.3125,1435.875,43,42,42,43,46,40,5.199999809,20,932,924,23,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',61,62,0.600000024,79,432.75,1790.5,49,49,48,49,47,48,5.480000019,18,1000,1000,24,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',51,56,0.1,79,489.156189,1726.5,47,49,44,45,47,48,4.659999847,24.5,952,980,24,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',29,6,0.25,79,432.5,1558.625,45,46,44,46,44,45,5.070000172,34,924,956,25,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',15,37,0.200000003,78,447.75,1601.875,48,49,46,48,47,48,5.210000038,20,908,928,25,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',51,72,0.25,79,403,1784.875,48,48,47,48,48,48,5.420000076,18,852,1000,27,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',33,9,0.150000006,78,363.3125,1567.5,50,51,49,49,47,48,6.46999979,20,908,936,28,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',2,3,0.100000001,81,408.75,1199.5,46,46,45,47,45,45,5.670000076,8,760,780,30,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',81,100,0.1,77,524,1941.75,50,49,49,50,47,48,6.050000191,27,1000,1000,30,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',10,10,0.300000012,80,468.3125,1462.75,48,49,47,48,47,48,7.199999809,29,852,916,31,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',22,28,0.050000001,81,453.625,1618,56,56,54,56,54,54,8.020000458,32,996,1000,34,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,0,0.050000001,80,403,1609.5,48,38,40,48,47,48,4.269999981,13.5,852,880,34,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',93,100,0.5,78,484.875,1913.5,49,49,46,47,52,44,10.27999973,30,1000,1000,37,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',93,100,0.1,81,403,1905,46,48,47,48,47,48,10.75,18,852,880,39,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',81,83,0.75,81,528.1875,1847.375,52,51,51,53,50,52,4.53000021,32,1000,1000,41,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',37,77,0.600000024,79,463.875,1825.375,52,52,50,51,47,48,7.010000229,15.5,992,1000,43,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',49,50,0.300000012,79,498.3125,1802,52,51,50,51,47,48,5.860000134,24.5,1000,1000,44,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',28,23,0.699999988,80,496.093811,1728.875,46,41,44,43,47,48,4.869999886,24.5,968,988,44,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',58,42,0.200000003,80,461.656189,1798.25,50,50,49,50,47,48,5.650000095,20,1000,1000,47,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',49,54,0.1,79,479.968811,1721.5,48,48,56,56,47,48,4.409999847,36,852,880,48,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',94,76,0.550000012,80,508.718811,1852.5,50,48,48,48,47,48,5.860000134,9,1000,880,49,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',37,10,0.100000001,80,438,1625.5,54,55,54,55,53,54,5.730000019,22,920,1000,49,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',69,68,0.349999994,81,530.531189,1756.5,49,45,47,47,47,48,5.800000191,24.5,988,1000,49,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',34,60,0.1,80,494.968811,1747.125,46,46,44,44,47,48,6.429999828,15.5,1000,1000,49,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',17,20,0.5,80,485.5625,1757.25,48,48,47,48,47,48,6.059999943,12,1000,1000,49,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',57,12,0.1,81,534.968811,1910.625,57,55,54,56,47,48,9.43999958,20,1000,1000,49,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,6,0,78,253.875,833.875,45,46,44,45,47,48,5.099999905,9,464,476,0,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',42,0,0.200000003,80,387.75,1281.375,43,43,40,43,47,48,9.739999771,0,664,640,0,);
"INSERT INTO Data (source,X_Torque,Avg_Load_Factor,Blowby_Pressure,Coolant_Temp,EGT_RB2,Engine_Speed,IMT_LBF,IMT_LBM,IMT_LBR,IMT_RBF,IMT_RBM,IMT_RBR,Incline,Lube_Oil_Pressure,Post_Lube_Oil_Filter_Pressure,Pre_Lube_Oil_Filter_Pressure,Truck_Speed) VALUES (",'f_f',0,63,0,78,328.3125,963,48,49,47,49,47,48,6.300000191,0,440,448,0,);
